// Track_Folder.exe V1.1 by KaloyanTs
// 11-04-23 8:38:48 PM
// C:\microC\Bugs_2\main.c
// Level; Name; Type; Address offset; Length
1;Inv_1;struct;0;-
  2;stReadyToSwitchOn;bit;0.0;-
  2;stSwitchedOn;bit;0.1;-
  2;stOperationEnabled;bit;0.2;-
  2;stMalfunction;bit;0.3;-
  2;stVoltageDisabled;bit;0.4;-
  2;stQuickStop;bit;0.5;-
  2;stSwitchOnDisabled;bit;0.6;-
  2;stAlarmPresent;bit;0.7;-
  2;stReserved_1;bit;1.0;-
  2;stNoForcedLocalMode;bit;1.1;-
  2;stReferenceReached;bit;1.2;-
  2;stLFRD_ReferenceExceeded;bit;1.3;-
  2;stReserved_2;bit;1.4;-
  2;stReserved_3;bit;1.5;-
  2;stStopImposed_;bit;1.6;-
  2;stReverseRotation;bit;1.7;-
  2;FreqOut;int;2;2
  2;FreqRef;int;4;2
  2;Current;int;6;2
  2;rdSP2;int;8;2
  2;rdSP3;int;10;2
  2;rdSP4;int;12;2
  2;wrSP2;int;14;2
  2;wrSP3;int;16;2
  2;wrSP4;int;18;2
1;Inv_2;struct;0;-
  2;stReadyToSwitchOn;bit;0.0;-
  2;stSwitchedOn;bit;0.1;-
  2;stOperationEnabled;bit;0.2;-
  2;stMalfunction;bit;0.3;-
  2;stVoltageDisabled;bit;0.4;-
  2;stQuickStop;bit;0.5;-
  2;stSwitchOnDisabled;bit;0.6;-
  2;stAlarmPresent;bit;0.7;-
  2;stReserved_1;bit;1.0;-
  2;stNoForcedLocalMode;bit;1.1;-
  2;stReferenceReached;bit;1.2;-
  2;stLFRD_ReferenceExceeded;bit;1.3;-
  2;stReserved_2;bit;1.4;-
  2;stReserved_3;bit;1.5;-
  2;stStopImposed_;bit;1.6;-
  2;stReverseRotation;bit;1.7;-
  2;FreqOut;int;2;2
  2;FreqRef;int;4;2
  2;Current;int;6;2
  2;rdSP2;int;8;2
  2;rdSP3;int;10;2
  2;rdSP4;int;12;2
  2;wrSP2;int;14;2
  2;wrSP3;int;16;2
  2;wrSP4;int;18;2
1;AlarmSound_ds;char;0;1
1;Temp_Under_s;int;0;2
1;Temp_Over_s;int;0;2
1;BL;type_Motion;0;-
  2;i_On_Delay_NextObj;bit;0.0;-
  2;i_Off_Delay_PrevObj;bit;0.1;-
  2;i_Manual_On;bit;0.2;-
  2;i_Enable_FB;bit;0.3;-
  2;i_FB_Pulses;bit;0.4;-
  2;i_STOP;bit;0.5;-
  2;o_ON;bit;0.6;-
  2;o_Alarm;bit;0.7;-
  2;Not_Protection;bit;1.0;-
  2;FB_Pulses_Rise;bit;1.1;-
  2;On_Time_Q;bit;1.2;-
  2;Off_Time_Q;bit;1.3;-
  2;ReOn_Prot_Time_Q;bit;1.4;-
  2;Alarm_Time_Q;bit;1.5;-
  2;On_2sec_Q;bit;1.6;-
  2;On_Time_ds;int;2;2
  2;Off_Time_ds;int;4;2
  2;ReOn_Prot_Time_ds;int;6;2
  2;Alarm_Time_cs;int;8;2
  2;Flags;int;10;2
  2;Last_Alarm_Time_cs;int;12;2
  2;Int_On_Time_ds;int;14;2
  2;Int_Off_Time_ds;int;16;2
  2;Int_Prot_Time_ds;int;18;2
  2;Int_Alarm_Time_cs;int;20;2
  2;Int_On_2sec_ds;int;22;2
  2;Animation;int;24;2
  2;Index;int;26;2
1;Feed_Aiger;type_Motion;0;-
  2;i_On_Delay_NextObj;bit;0.0;-
  2;i_Off_Delay_PrevObj;bit;0.1;-
  2;i_Manual_On;bit;0.2;-
  2;i_Enable_FB;bit;0.3;-
  2;i_FB_Pulses;bit;0.4;-
  2;i_STOP;bit;0.5;-
  2;o_ON;bit;0.6;-
  2;o_Alarm;bit;0.7;-
  2;Not_Protection;bit;1.0;-
  2;FB_Pulses_Rise;bit;1.1;-
  2;On_Time_Q;bit;1.2;-
  2;Off_Time_Q;bit;1.3;-
  2;ReOn_Prot_Time_Q;bit;1.4;-
  2;Alarm_Time_Q;bit;1.5;-
  2;On_2sec_Q;bit;1.6;-
  2;On_Time_ds;int;2;2
  2;Off_Time_ds;int;4;2
  2;ReOn_Prot_Time_ds;int;6;2
  2;Alarm_Time_cs;int;8;2
  2;Flags;int;10;2
  2;Last_Alarm_Time_cs;int;12;2
  2;Int_On_Time_ds;int;14;2
  2;Int_Off_Time_ds;int;16;2
  2;Int_Prot_Time_ds;int;18;2
  2;Int_Alarm_Time_cs;int;20;2
  2;Int_On_2sec_ds;int;22;2
  2;Animation;int;24;2
  2;Index;int;26;2
1;Feed_Gate;type_Motion;0;-
  2;i_On_Delay_NextObj;bit;0.0;-
  2;i_Off_Delay_PrevObj;bit;0.1;-
  2;i_Manual_On;bit;0.2;-
  2;i_Enable_FB;bit;0.3;-
  2;i_FB_Pulses;bit;0.4;-
  2;i_STOP;bit;0.5;-
  2;o_ON;bit;0.6;-
  2;o_Alarm;bit;0.7;-
  2;Not_Protection;bit;1.0;-
  2;FB_Pulses_Rise;bit;1.1;-
  2;On_Time_Q;bit;1.2;-
  2;Off_Time_Q;bit;1.3;-
  2;ReOn_Prot_Time_Q;bit;1.4;-
  2;Alarm_Time_Q;bit;1.5;-
  2;On_2sec_Q;bit;1.6;-
  2;On_Time_ds;int;2;2
  2;Off_Time_ds;int;4;2
  2;ReOn_Prot_Time_ds;int;6;2
  2;Alarm_Time_cs;int;8;2
  2;Flags;int;10;2
  2;Last_Alarm_Time_cs;int;12;2
  2;Int_On_Time_ds;int;14;2
  2;Int_Off_Time_ds;int;16;2
  2;Int_Prot_Time_ds;int;18;2
  2;Int_Alarm_Time_cs;int;20;2
  2;Int_On_2sec_ds;int;22;2
  2;Animation;int;24;2
